OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,YearBuilt,Fireplaces,TotRmsAbvGrd,KitchenQual,ExterQual,BsmtQual,GarageFinish,OpenPorchSF,SalePrice
7,1710,2,548,856,856,2,2003,0,8,Gd,Gd,Gd,RFn,61,208500
6,1262,2,460,1262,1262,2,1976,1,6,TA,TA,Gd,RFn,0,181500
7,1786,2,608,920,920,2,2001,1,6,Gd,Gd,Gd,RFn,42,223500
7,1717,3,642,756,961,1,1915,1,7,Gd,TA,TA,Unf,35,140000
8,2198,3,836,1145,1145,2,2000,1,9,Gd,Gd,Gd,RFn,84,250000
5,1362,2,480,796,796,1,1993,0,5,TA,TA,Gd,Unf,30,143000
8,1694,2,636,1686,1694,2,2004,1,7,Gd,Gd,Ex,RFn,57,307000
7,2090,2,484,1107,1107,2,1973,2,7,TA,TA,Gd,RFn,204,200000
7,1774,2,468,952,1022,2,1931,2,8,TA,TA,TA,Unf,0,129900
5,1077,1,205,991,1077,1,1939,2,5,TA,TA,TA,RFn,4,118000
5,1040,1,384,1040,1040,1,1965,0,5,TA,TA,TA,Unf,0,129500
9,2324,3,736,1175,1182,3,2005,2,11,Ex,Ex,Ex,Fin,21,345000
5,912,1,352,912,912,1,1962,0,4,TA,TA,TA,Unf,0,144000
7,1494,3,840,1494,1494,2,2006,1,7,Gd,Gd,Gd,RFn,33,279500
6,1253,1,352,1253,1253,1,1960,1,5,TA,TA,TA,RFn,213,157000
7,854,2,576,832,854,1,1929,0,5,TA,TA,TA,Unf,112,132000
6,1004,2,480,1004,1004,1,1970,1,5,TA,TA,TA,Fin,0,149000
4,1296,2,516,0,1296,2,1967,0,6,TA,TA,,Unf,0,90000
5,1114,2,576,1114,1114,1,2004,0,6,Gd,TA,TA,Unf,102,159000
5,1339,1,294,1029,1339,1,1958,0,6,TA,TA,TA,Unf,0,139000
8,2376,3,853,1158,1158,3,2005,1,9,Gd,Gd,Ex,RFn,154,325300
7,1108,1,280,637,1108,1,1930,1,6,Gd,TA,TA,Unf,0,139400
8,1795,2,534,1777,1795,2,2002,1,7,Gd,Gd,Gd,RFn,159,230000
5,1060,2,572,1040,1060,1,1976,1,6,TA,TA,Gd,Unf,110,129900
5,1060,1,270,1060,1060,1,1968,1,6,Gd,TA,TA,Unf,90,154000
8,1600,3,890,1566,1600,2,2007,1,7,Gd,Gd,Gd,RFn,56,256300
5,900,2,576,900,900,1,1951,0,5,Gd,TA,TA,Unf,32,134800
8,1704,3,772,1704,1704,2,2007,1,7,Gd,Gd,Ex,RFn,50,306000
5,1600,1,319,1484,1600,1,1957,2,6,TA,TA,TA,RFn,258,207500
4,520,1,240,520,520,1,1927,0,4,Fa,TA,TA,Unf,0,68500
4,1317,1,250,649,649,1,1920,0,6,TA,TA,TA,Unf,54,40000
5,1228,1,271,1228,1228,1,1966,0,6,Gd,TA,TA,Unf,65,149350
8,1234,2,484,1234,1234,2,2007,0,7,Gd,Gd,Ex,RFn,30,179900
5,1700,2,447,1398,1700,1,1959,1,6,Gd,TA,TA,RFn,38,165500
9,1561,2,556,1561,1561,2,2005,1,6,Ex,Ex,Ex,Fin,47,277500
8,2452,3,691,1117,1132,3,2004,1,9,Gd,Gd,Ex,Fin,32,309000
5,1097,2,672,1097,1097,1,1994,0,6,TA,TA,Gd,Unf,64,145000
5,1297,2,498,1297,1297,1,1954,1,5,TA,TA,TA,Fin,0,153000
5,1057,1,246,1057,1057,1,1953,0,5,Gd,TA,TA,Unf,52,109000
4,1152,0,0,0,1152,2,1955,0,6,Fa,TA,,,0,82000
6,1324,2,440,1088,1324,2,1965,1,6,TA,TA,TA,RFn,138,160000
5,1328,1,308,1350,1328,1,1959,2,5,TA,TA,TA,RFn,104,170000
5,884,2,504,840,884,1,1983,0,5,Gd,TA,Gd,RFn,0,144000
5,938,1,308,938,938,1,1975,0,5,TA,TA,Gd,Unf,0,130250
5,1150,1,300,1150,1150,1,1959,0,6,TA,TA,TA,RFn,0,141000
9,1752,2,576,1752,1752,2,2005,1,6,Ex,Ex,Ex,RFn,82,319900
7,2149,2,670,1434,1518,1,2003,1,6,Gd,Gd,Ex,RFn,43,239686
8,1656,3,826,1656,1656,2,2006,0,7,Gd,Gd,Gd,RFn,146,249700
4,1452,0,0,736,736,2,1920,0,8,TA,TA,TA,,0,113000
5,955,1,386,955,955,1,1966,0,6,TA,TA,TA,Unf,0,127000
6,1470,2,388,794,794,2,1997,0,6,TA,TA,Gd,Fin,75,177000
6,1176,2,528,816,816,1,1934,1,6,TA,TA,TA,Unf,0,114500
5,816,2,516,816,816,1,1963,0,5,TA,Fa,Gd,Unf,0,110000
9,1842,3,894,1842,1842,0,1981,1,5,Gd,Gd,Ex,Fin,72,385000
5,1360,2,572,384,1360,1,1955,1,6,TA,TA,TA,Unf,50,130000
6,1425,2,576,1425,1425,2,1964,1,7,TA,TA,TA,RFn,0,180500
8,1739,2,480,970,983,2,1999,0,7,Gd,Gd,Gd,Fin,0,172500
7,1720,2,565,860,860,2,2004,0,7,Gd,Gd,Gd,RFn,70,196500
10,2945,3,641,1410,1426,3,2006,1,10,Gd,Ex,Ex,Fin,0,438780
5,780,1,352,780,780,1,1972,0,4,TA,TA,TA,Unf,0,124900
6,1158,2,576,1158,1158,1,2004,0,5,Gd,TA,Gd,Unf,50,158000
5,1111,1,288,530,581,1,1920,0,6,Fa,TA,TA,Unf,0,101000
8,1370,2,484,1370,1370,2,2006,1,6,Gd,Gd,Gd,RFn,49,202500
7,1710,2,480,576,902,2,1921,0,9,TA,TA,TA,Unf,11,140000
7,2034,2,645,1057,1057,2,1997,0,8,Gd,TA,Gd,RFn,36,219500
8,2473,3,852,1143,1143,2,2004,1,9,Gd,Gd,Ex,RFn,151,317000
7,2207,2,576,1947,2207,2,1970,1,7,TA,TA,Gd,RFn,0,180000
7,1479,2,558,1453,1479,2,2003,0,7,Gd,Gd,Gd,RFn,29,226000
4,747,1,220,747,747,1,1945,0,4,TA,TA,TA,Unf,0,80000
7,2287,2,667,1304,1304,2,1953,1,7,TA,Gd,TA,Fin,21,225000
7,2223,2,516,2223,2223,2,1973,2,8,TA,TA,Gd,Fin,0,244000
4,845,2,360,845,845,1,1982,0,4,TA,TA,TA,Unf,0,129500
7,1718,2,427,832,885,2,1998,1,7,TA,TA,Gd,Fin,94,185000
5,1086,2,490,1086,1086,1,1954,0,6,TA,TA,TA,Unf,0,144900
3,1605,1,379,840,840,2,1915,0,8,TA,Gd,Fa,Unf,0,107400
4,988,1,297,462,526,1,1973,0,5,TA,TA,Gd,Unf,101,91000
4,952,1,283,952,952,1,1956,0,4,TA,TA,TA,Unf,0,135750
5,1285,1,240,672,1072,1,1948,0,6,TA,TA,TA,Unf,0,127000
